city,state,total_sales,monthly_avg_sales
"Santa Rosa",CA,13229.44,1202.68
Scottsdale,AZ,22824.96,1902.08
Seattle,WA,67665.60,5638.80
Shreveport,LA,7454.40,931.80
"Sioux Falls",SD,12342.40,1234.24
Spokane,WA,13184.64,1198.60
"Spring Valley",NV,18695.36,1869.54
Springfield,MA,7730.56,773.06
Springfield,MO,6536.00,653.60
"St. Louis",MO,17638.40,1603.49
"St. Paul",MN,19270.40,1751.85
"St. Petersburg",FL,12614.40,1261.44
Stockton,CA,26927.36,2243.95
Sunnyvale,CA,16043.20,1458.47
"Sunrise Manor",NV,15946.24,1449.66
Surprise,AZ,9345.92,778.83
Tacoma,WA,15379.20,1281.60
Tallahassee,FL,8333.44,925.94
Tampa,FL,19046.72,1904.67
Tempe,AZ,14608.64,1328.06
Thornton,CO,14397.12,1199.76
Toledo,OH,15927.68,1769.74
Tucson,AZ,42301.44,3525.12
Tulsa,OK,35168.64,2930.72
Vancouver,WA,18239.36,1519.95
"Virginia Beach",VA,17392.32,1581.12
Waco,TX,7622.40,692.95
Washington,DC,43102.72,3918.43
Wichita,KS,22897.60,2081.60
Winston-Salem,NC,9763.20,1220.40
Worcester,MA,8114.88,901.65
Yonkers,NY,10451.84,1161.32
